"hour","Duncan","Moran"
"min",0.1064,0.110254405314464
"max",0.3301,0.702912085358046
"4am",0.2108,0.499513349602675
"5am",0.2093,0.493251266635065
"6am",0.2064,0.466240056709304
"7am",0.202,0.436424101919561
"8am",0.1898,0.422500531669792
"9am",0.1793,0.402787427208276
"10am",0.1812,0.43147555677797
"11am",0.1782,0.468426004987067
"12am",0.1844,0.44400407343696
"1pm",0.1879,0.415959979087753
"2pm",0.1893,0.443519090680851
"3pm",0.1938,0.410758447687147
"4pm",0.1999,0.465521023833157
"5pm",0.2068,0.497558226059252
"6pm",0.2077,0.476340230948738
"7pm",0.2042,0.514283204162866
"8pm",0.209,0.518857870331118
"9pm",0.2139,0.502380615614586
"10pm",0.2111,0.518841826538736
"11pm",0.2094,0.520093721214348
"12pm",0.2112,0.519048718359034
"1am",0.2112,0.515383839092177
"2am",0.2114,0.508102836077222
"3am",0.2118,0.510480468119574
