"hour","Duncan","Moran"
"min",0.1064,0.110254405314464
"max",0.3301,0.702912085358046
"4am",0.3283,0.702579101974084
"5am",0.3285,0.702912085358046
"6am",0.3257,0.702289318002044
"7am",0.3182,0.692839342868678
"8am",0.3049,0.675457341598703
"9am",0.2862,0.639835835993905
"10am",0.2617,0.615778151928336
"11am",0.2605,0.628605756651769
"12am",0.2569,0.612532021297009
"1pm",0.2552,0.591701450555532
"2pm",0.2544,0.607663648505311
"3pm",0.2559,0.617849263307083
"4pm",0.261,0.653946976450803
"5pm",0.2728,0.666041329848202
"6pm",0.2988,0.669894969783424
"7pm",0.3206,0.69682211978398
"8pm",0.3286,0.6940475522713
"9pm",0.3285,0.691680235636106
"10pm",0.3297,0.692026042016181
"11pm",0.3301,0.69497708682377
"12pm",0.3273,0.696679741705157
"1am",0.3277,0.698281829934691
"2am",0.3271,0.699403125562735
"3am",0.327,0.699907773964894
